# Time	forces(pressure, viscous) moment(pressure, viscous)
68	(((6.24476 -0.782508 -8.65639e-19) (0.348419 -0.00420556 -2.16887e-23)) ((0.00993785 0.0793084 8.82114e-08) (5.34106e-05 0.00442492 -0.000205373)))
69	(((6.27222 -0.777676 -8.66094e-19) (0.345574 -0.00414737 -2.16482e-23)) ((0.00987649 0.0796572 8.70762e-08) (5.26716e-05 0.00438878 -0.000201672)))
70	(((6.2971 -0.777393 -8.6654e-19) (0.342785 -0.0040896 -2.16049e-23)) ((0.00987289 0.0799731 8.56787e-08) (5.19379e-05 0.00435337 -0.000198003)))
71	(((6.31745 -0.774312 -8.66931e-19) (0.340051 -0.00403224 -2.15594e-23)) ((0.00983376 0.0802316 8.49423e-08) (5.12095e-05 0.00431865 -0.000194369)))
72	(((6.33846 -0.7765 -8.67295e-19) (0.337371 -0.00397543 -2.15116e-23)) ((0.00986155 0.0804984 8.39925e-08) (5.0488e-05 0.00428461 -0.000190768)))
73	(((6.36375 -0.781992 -8.67672e-19) (0.334744 -0.00391918 -2.14609e-23)) ((0.0099313 0.0808196 8.24447e-08) (4.97736e-05 0.00425124 -0.000187205)))
74	(((6.39191 -0.780355 -8.6808e-19) (0.332168 -0.0038634 -2.14064e-23)) ((0.00991051 0.0811773 8.13905e-08) (4.90652e-05 0.00421853 -0.000183684)))
75	(((6.41994 -0.775433 -8.68468e-19) (0.329643 -0.0038081 -2.13475e-23)) ((0.00984799 0.0815332 8.01689e-08) (4.83628e-05 0.00418647 -0.000180195)))
76	(((6.44417 -0.76974 -8.68808e-19) (0.327168 -0.00375324 -2.12843e-23)) ((0.00977569 0.0818409 7.90407e-08) (4.76661e-05 0.00415503 -0.000176739)))
77	(((6.46489 -0.770193 -8.69102e-19) (0.324741 -0.0036989 -2.12175e-23)) ((0.00978145 0.0821041 7.76983e-08) (4.6976e-05 0.00412422 -0.000173314)))
78	(((6.48572 -0.774487 -8.69482e-19) (0.322363 -0.0036451 -2.11475e-23)) ((0.00983598 0.0823687 7.65811e-08) (4.62928e-05 0.00409401 -0.000169928)))
79	(((6.51002 -0.780631 -8.69858e-19) (0.320032 -0.00359187 -2.10744e-23)) ((0.00991401 0.0826772 7.48819e-08) (4.56167e-05 0.0040644 -0.000166585)))
80	(((6.53556 -0.777984 -8.70259e-19) (0.317747 -0.00353904 -2.09981e-23)) ((0.0098804 0.0830016 7.39597e-08) (4.49459e-05 0.00403539 -0.00016329)))
81	(((6.56022 -0.772921 -8.70587e-19) (0.315508 -0.00348677 -2.09178e-23)) ((0.00981609 0.0833148 7.28305e-08) (4.4282e-05 0.00400695 -0.000160027)))
82	(((6.58313 -0.769979 -8.7088e-19) (0.313314 -0.00343501 -2.08335e-23)) ((0.00977874 0.0836057 7.14061e-08) (4.36246e-05 0.00397908 -0.0001568)))
83	(((6.60473 -0.77064 -8.71183e-19) (0.311164 -0.00338387 -2.07452e-23)) ((0.00978712 0.0838801 6.9926e-08) (4.29751e-05 0.00395178 -0.000153609)))
84	(((6.62566 -0.772926 -8.71515e-19) (0.309058 -0.00333341 -2.06534e-23)) ((0.00981616 0.0841459 6.86154e-08) (4.23343e-05 0.00392503 -0.000150457)))
85	(((6.64575 -0.77294 -8.7182e-19) (0.306995 -0.00328366 -2.05585e-23)) ((0.00981634 0.084401 6.79554e-08) (4.17024e-05 0.00389883 -0.000147344)))
86	(((6.6671 -0.773392 -8.72126e-19) (0.304974 -0.00323463 -2.04605e-23)) ((0.00982208 0.0846722 6.62974e-08) (4.10799e-05 0.00387317 -0.000144267)))
87	(((6.6888 -0.773173 -8.72436e-19) (0.302996 -0.00318613 -2.03596e-23)) ((0.0098193 0.0849478 6.47073e-08) (4.04638e-05 0.00384805 -0.000141235)))
88	(((6.71022 -0.772733 -8.72737e-19) (0.30106 -0.00313824 -2.02557e-23)) ((0.00981371 0.0852198 6.33285e-08) (3.98557e-05 0.00382346 -0.000138244)))
89	(((6.73102 -0.771686 -8.73053e-19) (0.299164 -0.00309107 -2.01489e-23)) ((0.00980042 0.085484 6.20562e-08) (3.92565e-05 0.00379939 -0.000135291)))
90	(((6.74995 -0.770967 -8.73338e-19) (0.29731 -0.00304467 -2.00395e-23)) ((0.00979129 0.0857244 6.12441e-08) (3.86673e-05 0.00377584 -0.000132375)))
91	(((6.76907 -0.771802 -8.73615e-19) (0.295496 -0.00299908 -1.99277e-23)) ((0.00980189 0.0859672 5.93571e-08) (3.80883e-05 0.00375279 -0.000129493)))
92	(((6.78676 -0.771949 -8.7388e-19) (0.293721 -0.00295404 -1.9814e-23)) ((0.00980375 0.0861919 5.81512e-08) (3.75163e-05 0.00373026 -0.000126657)))
93	(((6.80444 -0.769993 -8.74144e-19) (0.291986 -0.00290966 -1.96982e-23)) ((0.00977891 0.0864164 5.64377e-08) (3.69527e-05 0.00370823 -0.00012386)))
94	(((6.82195 -0.7699 -8.74433e-19) (0.290291 -0.00286582 -1.95809e-23)) ((0.00977773 0.0866387 5.50332e-08) (3.63959e-05 0.00368669 -0.000121108)))
95	(((6.83931 -0.772147 -8.74754e-19) (0.288634 -0.00282278 -1.94622e-23)) ((0.00980627 0.0868593 5.41712e-08) (3.58493e-05 0.00366565 -0.000118395)))
96	(((6.85647 -0.773968 -8.75047e-19) (0.287015 -0.00278072 -1.93424e-23)) ((0.00982939 0.0870771 5.28615e-08) (3.53151e-05 0.00364509 -0.000115715)))
97	(((6.873 -0.773253 -8.75291e-19) (0.285434 -0.0027394 -1.92216e-23)) ((0.00982031 0.0872871 5.09079e-08) (3.47904e-05 0.00362502 -0.000113073)))
98	(((6.8892 -0.771763 -8.75602e-19) (0.283892 -0.0026986 -1.91001e-23)) ((0.00980139 0.0874928 4.9351e-08) (3.42723e-05 0.00360542 -0.000110475)))
99	(((6.90442 -0.769898 -8.75911e-19) (0.282386 -0.00265844 -1.89778e-23)) ((0.0097777 0.0876861 4.82041e-08) (3.37623e-05 0.0035863 -0.000107915)))
100	(((6.91861 -0.769736 -8.76213e-19) (0.280918 -0.002619 -1.88551e-23)) ((0.00977565 0.0878664 4.69132e-08) (3.32614e-05 0.00356765 -0.000105391)))
101	(((6.93107 -0.772434 -8.76504e-19) (0.279486 -0.00258035 -1.87323e-23)) ((0.00980992 0.0880246 4.55354e-08) (3.27705e-05 0.00354947 -0.000102905)))
102	(((6.94526 -0.772939 -8.76759e-19) (0.278091 -0.00254251 -1.86095e-23)) ((0.00981632 0.0882048 4.37023e-08) (3.22898e-05 0.00353175 -0.000100456)))
103	(((6.96068 -0.77135 -8.7704e-19) (0.276732 -0.00250518 -1.84872e-23)) ((0.00979614 0.0884006 4.19894e-08) (3.18158e-05 0.0035145 -9.80485e-05)))
104	(((6.97468 -0.770297 -8.77393e-19) (0.275409 -0.00246846 -1.83655e-23)) ((0.00978277 0.0885784 4.10891e-08) (3.13494e-05 0.0034977 -9.56775e-05)))
